Index,Document name,L0,L1,L2,Department,Subcategory,Target name,Target L0,Target L1,Target L2,Document type,Target type
0,GDE-206403,Lifecycle,Drug & Device Development,Stability Program Management,OPS,GDE,GDE-174479,Lifecycle,Drug & Device Development,Stability Program Management,GDE,GDE
1,GDE-206403,Lifecycle,Drug & Device Development,Stability Program Management,OPS,GDE,SOP-836807,Lifecycle,Drug & Device Development,Analytical Method Development,GDE,SOP
2,GDE-568758,GxP,Quality Risk Management,Product and Process Risk Management,OPS,GDE,GDE-879112,Lifecycle,Non-Clinical Programs,Non-Clinical Study Management,GDE,GDE
3,GDE-568758,GxP,Quality Risk Management,Product and Process Risk Management,OPS,GDE,GDE-321311,Lifecycle,Clinical Programs,Clinical Program Strategy,GDE,GDE
4,GDE-568758,GxP,Quality Risk Management,Product and Process Risk Management,OPS,GDE,SOP-716431,GxP,Quality Risk Management,URRA / PFMEA / DFMEA,GDE,SOP
5,GDE-161204,Operational,Production & Disposition,Manufacturing Controls,OPS,GDE,SOP-536025,GxP,Product Quality Management,Product Complaint Handling,GDE,SOP
6,GDE-161204,Operational,Production & Disposition,Manufacturing Controls,OPS,GDE,SOP-198365,Operational,Qualification & Validation,Process Qualification,GDE,SOP
7,GDE-161204,Operational,Production & Disposition,Manufacturing Controls,OPS,GDE,SOP-051323,GxP,Product Quality Management,Product Complaint Handling,GDE,SOP
8,GDE-243002,Operational,Production & Disposition,Packaging Controls,OPS,GDE,SOP-536025,GxP,Product Quality Management,Product Complaint Handling,GDE,SOP
9,GDE-243002,Operational,Production & Disposition,Packaging Controls,OPS,GDE,SOP-310453,Operational,Production & Disposition,Packaging Controls,GDE,SOP
10,GDE-243002,Operational,Production & Disposition,Packaging Controls,OPS,GDE,SOP-198365,Operational,Qualification & Validation,Process Qualification,GDE,SOP
11,GDE-243002,Operational,Production & Disposition,Packaging Controls,OPS,GDE,SOP-799852,Operational,Production & Disposition,Packaging Controls,GDE,SOP
12,GDE-243002,Operational,Production & Disposition,Packaging Controls,OPS,GDE,SOP-781510,Operational,Facility Management,Facilities Maintenance,GDE,SOP
